2026-03-28 13:22:25,157 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,160 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,167 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,171 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,177 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,181 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,185 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,191 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,195 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,199 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,202 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,206 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,210 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,214 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,218 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,224 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,228 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,231 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,235 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,240 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,248 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,253 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,257 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,261 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,266 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,271 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,275 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,280 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,284 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,287 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,291 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,295 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,305 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,308 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,312 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,317 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,321 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,324 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,328 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 13:22:25,332 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
